15
149, 779140798990483456, 2016-09-23 02:10:16, MarceloQui          , RT @gdugomes: Se depender do @STF_oficial  @renancalheiros  nunca vai ser julgado.  só indo #vemprarua https://t.co/D6cFsAOs6r
150, 779139805443678209, 2016-09-23 02:06:19, dyol_fernandes      , RT @gdugomes: Se depender do @STF_oficial  @renancalheiros  nunca vai ser julgado.  só indo #vemprarua https://t.co/D6cFsAOs6r
151, 779138933368250369, 2016-09-23 02:02:52, VALERIAlealarq      , RT @gdugomes: Se depender do @STF_oficial  @renancalheiros  nunca vai ser julgado.  só indo #vemprarua https://t.co/D6cFsAOs6r
152, 779137241637675008, 2016-09-23 01:56:08, SSInventor          , RT @helensa93468834: NÃO SOMOS A GERAÇÃO CARAS PINTADAS, SOMOS A GERAÇÃO #RENOVABRASIL, #VEMPRARUA,#FORADILMA,#LULANAPAPUDA, NÃO VAMOS DAR…
153, 779135389898596354, 2016-09-23 01:48:47, sonia_schoecher     , RT @gdugomes: Se depender do @STF_oficial  @renancalheiros  nunca vai ser julgado.  só indo #vemprarua https://t.co/D6cFsAOs6r
154, 779135042098520064, 2016-09-23 01:47:24, lourdeszeglin       , RT @gdugomes: Se depender do @STF_oficial  @renancalheiros  nunca vai ser julgado.  só indo #vemprarua https://t.co/D6cFsAOs6r
155, 779134970736549888, 2016-09-23 01:47:07, ArobertoSa          , RT @gdugomes: Se depender do @STF_oficial  @renancalheiros  nunca vai ser julgado.  só indo #vemprarua https://t.co/D6cFsAOs6r
156, 779134402412634112, 2016-09-23 01:44:51, jcmonteiro50        , RT @gdugomes: Se depender do @STF_oficial  @renancalheiros  nunca vai ser julgado.  só indo #vemprarua https://t.co/D6cFsAOs6r
157, 779128666320240640, 2016-09-23 01:22:04, pedrooraphael_      , @its_peedro KKKK se bem q eu tô vey já... eu só uso do amarelinho hahah #vemprarua
158, 779127870971056128, 2016-09-23 01:18:54, _coeanna            , Amanhã é dia do #VEMPRARUA
159, 779120958049251328, 2016-09-23 00:51:26, Rodrigorawache      , RT @RealitySocial: Mano, eu reprovei 2x no ensino médio por causa de matemática e filosofia, agora querem tirar?? Não não não. #VemPraRua
160, 779119587786973185, 2016-09-23 00:45:59, pax60               , #vemprarua !!!!!! https://t.co/llhOnEKS6p
